Iteration,Time,TimeStep,Diff.Hf,Diff.Tw,Diff.Mice,MiceTotal
2.0000000000e+00,4.2007650000e+02,3.8260000000e-02,6.6320000000e-22,6.9910000000e-18,6.7980000000e-21,2.6930000000e+00
3.0000000000e+00,4.2011480000e+02,3.8260000000e-02,5.6860000000e-22,6.3310000000e-18,5.1620000000e-21,2.6930000000e+00
4.0000000000e+00,4.2015300000e+02,3.8260000000e-02,5.7700000000e-22,6.4620000000e-18,4.9080000000e-21,2.6930000000e+00
5.0000000000e+00,4.2019130000e+02,3.8260000000e-02,4.4630000000e-22,5.2270000000e-18,4.8270000000e-21,2.6930000000e+00
6.0000000000e+00,4.2022960000e+02,3.8260000000e-02,3.6020000000e-22,6.3310000000e-18,4.7730000000e-21,2.6940000000e+00
7.0000000000e+00,4.2026780000e+02,3.8260000000e-02,3.9130000000e-22,6.5430000000e-18,4.7530000000e-21,2.6940000000e+00
8.0000000000e+00,4.2030610000e+02,3.8260000000e-02,5.1940000000e-22,6.8360000000e-18,3.8970000000e-21,2.6940000000e+00
9.0000000000e+00,4.2034430000e+02,3.8260000000e-02,4.4270000000e-22,5.6360000000e-18,3.9890000000e-21,2.6940000000e+00
1.0000000000e+01,4.2038260000e+02,3.8260000000e-02,4.4090000000e-22,6.7830000000e-18,3.9510000000e-21,2.6950000000e+00
1.0000000000e+02,4.2382590000e+02,3.8260000000e-02,2.8460000000e-23,1.5820000000e-18,6.2810000000e-22,2.7170000000e+00
2.0000000000e+02,4.2765180000e+02,3.8260000000e-02,2.3670000000e-24,1.2640000000e-19,4.1720000000e-23,2.7430000000e+00
3.0000000000e+02,4.3147770000e+02,3.8260000000e-02,1.0520000000e-25,3.5360000000e-20,1.2540000000e-23,2.7680000000e+00
4.0000000000e+02,4.3530360000e+02,3.8260000000e-02,5.6480000000e-26,1.9370000000e-20,5.6970000000e-24,2.7930000000e+00
5.0000000000e+02,4.3912950000e+02,3.8260000000e-02,2.7820000000e-26,1.2700000000e-20,5.2180000000e-24,2.8180000000e+00
6.0000000000e+02,4.4295540000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8430000000e+00
7.0000000000e+02,4.4678130000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8680000000e+00
8.0000000000e+02,4.5060720000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8930000000e+00
9.0000000000e+02,4.5443310000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9190000000e+00
1.0000000000e+03,4.5825900000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9440000000e+00
1.1000000000e+03,4.6208490000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9690000000e+00
1.2000000000e+03,4.6591080000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9940000000e+00
1.3000000000e+03,4.6973670000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0190000000e+00
1.4000000000e+03,4.7356260000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0440000000e+00
1.5000000000e+03,4.7738850000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0700000000e+00
1.6000000000e+03,4.8121440000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0950000000e+00
1.7000000000e+03,4.8504030000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1200000000e+00
1.8000000000e+03,4.8886620000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1450000000e+00
1.9000000000e+03,4.9269210000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1700000000e+00
2.0000000000e+03,4.9651800000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1950000000e+00
2.1000000000e+03,5.0034390000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2200000000e+00
2.2000000000e+03,5.0416980000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2460000000e+00
2.3000000000e+03,5.0799570000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2710000000e+00
2.4000000000e+03,5.1182160000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2960000000e+00
2.5000000000e+03,5.1564760000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3210000000e+00
2.6000000000e+03,5.1947350000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3460000000e+00
2.7000000000e+03,5.2329940000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3710000000e+00
2.8000000000e+03,5.2712530000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3970000000e+00
2.9000000000e+03,5.3095120000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4220000000e+00
3.0000000000e+03,5.3477710000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4470000000e+00
3.1000000000e+03,5.3860300000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4720000000e+00
3.2000000000e+03,5.4242890000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4970000000e+00
3.3000000000e+03,5.4625480000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5220000000e+00
3.4000000000e+03,5.5008070000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5470000000e+00
3.5000000000e+03,5.5390660000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5730000000e+00
3.6000000000e+03,5.5773250000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5980000000e+00
3.7000000000e+03,5.6155840000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6230000000e+00
3.8000000000e+03,5.6538430000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6480000000e+00
3.9000000000e+03,5.6921020000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6730000000e+00
4.0000000000e+03,5.7303610000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6980000000e+00
4.1000000000e+03,5.7686200000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.7240000000e+00
4.2000000000e+03,5.8068790000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.7490000000e+00
4.3000000000e+03,5.8451380000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.7740000000e+00
4.4000000000e+03,5.8833970000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.7990000000e+00
